Round,error
0,68.55313282904929
1,92.48092890061842
2,124.2283463061634
3,159.75541890380677
4,270.2298082163967
5,319.8329911502524
6,365.24079001188056
7,395.95992421625255
8,418.76364784202764
9,449.35606848571194
10,486.2351587566891
11,511.6055664801892
12,543.0248819271595
13,591.4522418542508
14,653.9727398197231
15,685.3565654352474
16,709.8641927164368
17,787.8283090615984
18,874.9087911047438
19,919.4037818605857
20,1067.8926418309231
21,1194.0354078635846
22,1295.1473149165813
23,1374.1872881473296
24,1464.0292878908201
25,1488.843274351138
26,1483.3910218127746
27,1493.2247725942448
28,1504.1885205091053
29,1305.2206081750548
30,1361.9537321291725
31,1416.0925971461318
32,1469.257283104042
33,1555.255166358421
34,1670.027794422949
35,1729.3036233227901
36,1809.1716550981416
37,1907.8220406375679
38,1967.7021119596407
39,2010.6269856170807
40,2072.6407722554773
41,2123.9384509890638
42,2161.155532783597
43,2195.764387115824
44,1849.3572260919018
45,1846.6029549747827
46,1805.7244205973486
47,1801.6866793753095
48,1826.0658925318457
49,1833.7504146174501
50,1896.4627258502578
51,1970.479088097457
52,1686.0269872593583
53,1755.132225331944
54,1815.2175734929222
55,1887.1943412649002
56,1979.075129217258
57,2024.8718923436859
58,1982.8639337669727
59,1941.6219791568512
60,2046.7921346461203
61,2079.365538679446
62,2100.9822643400003
63,2100.5782246342837
64,2110.5133523138725
65,1417.2929493590502
66,1419.1128893958353
67,1378.8802648211863
68,1491.844703444399
69,1625.6674547432317
70,1698.8056083186452
71,1664.2564435271897
72,1780.535164890935
73,1891.6684373973653
74,2004.7405727869727
75,2110.508320588288
76,2161.590410985335
77,1950.2422671988836
78,2020.285942056058
79,2122.994433440631
80,2130.5801365436637
81,2296.4486736434947
82,2320.3253120755176
83,2324.772960069497
84,2269.683469435036
85,2313.37149267658
86,2093.784399879517
87,1934.6704927129638
88,1983.477878140395
89,2020.2041318389092
90,2073.6071258652964
91,2505.650954475686
92,2592.9020732003446
93,2725.5793561787996
94,2795.681470495462
95,2499.303653523983
96,2253.9039572259635
97,2320.7002705325153
98,2362.024421260596
99,2270.3369251700938
100,2267.1974069925736
101,2246.7825213727883
102,2239.697925913157
103,2238.04465824403
104,2193.9423604880712
105,2306.216569693204
106,2311.616596002817
107,2266.2879917781484
108,2305.7208900124087
109,2435.3206279334804
110,2529.7298852215363
111,2641.5627356050827
112,2752.185212009364
113,2825.715065931716
114,2928.818778360705
115,3025.092464294985
116,2881.846253518172
117,2965.799331198579
118,3048.8459110343906
119,3117.1162579544116
120,2184.892954179708
121,2248.0697705383636
122,2303.6025080121494
123,2363.030884431515
124,2379.6213918139906
125,2446.9460379493376
126,2919.3360770369477
127,3124.0661741493855
128,3555.511177199161
129,4052.3683512531084
130,4611.344922672772
131,5262.81662304748
132,6147.7360329563035
133,3984.779962257291
134,4111.125996728286
135,4269.021436840802
136,4453.201342099614
137,5349.6604417172575
138,5832.421841116442
139,6112.165205230603
140,6550.721537133045
141,6915.403611200816
142,7315.257170037943
143,7658.564890693914
144,8074.571608094961
145,8597.350624059663
146,9087.878663104673
147,9516.186852394838
148,10001.004632282169
149,10438.480321199318
150,10512.179014603416
151,10818.47886374326
152,10560.011035309019
153,10616.116911215031
154,10812.124038962576
155,10954.600089489495
156,10873.433602064973
157,10988.96272038472
158,10851.945692891008
159,10940.145782551064
160,11055.531164010234
161,11165.706435317954
162,11256.316460983819
163,11374.297133267375
164,9526.155931649475
165,9633.136142781561
166,9702.017002434974
167,9808.08845403648
168,9894.067343222485
169,10004.053228589115
170,10125.438643589467
171,10254.580894568233
172,10351.697801197035
173,10455.052802405848
174,10567.728006526952
175,9029.285763235142
176,9187.375649486945
177,9351.033738277656
178,9476.306964586467
179,9666.984510152848
180,9884.787693851717
181,9807.54051954019
182,9852.318831151862
183,9878.980401849472
184,10169.536037705144
185,10366.99761233121
186,10530.088875616586
187,9870.761320373267
188,10086.229099995087
189,9553.709104915886
190,9981.335679349346
191,10070.773328910256
192,10156.991742747929
193,10444.404233773466
194,10719.663196056083
195,10837.234951894148
196,10766.499337822426
197,10518.258620428287
198,10410.227256958402
199,10647.761349682985
200,10702.421396214011
201,10807.13759847422
202,10965.648609435675
203,11149.288766511878
204,11215.795235500234
205,11357.45499481158
206,11517.556272211368
207,11717.96076525872
208,12023.02818781558
209,12264.515016358651
210,12508.089766447836
211,12883.982091370575
212,13187.08536717404
213,13456.289038585106
214,13937.103732687749
215,14308.650502773859
216,14474.184668426291
217,14750.141236595906
218,14944.076864437175
219,15241.016846433798
220,15503.8306369939
221,15526.283656803007
222,15288.022875664965
223,15093.632654107589
224,15218.028000905393
225,15453.063892296748
226,15518.82241538803
227,15674.606053777563
228,15907.624813512226
229,15932.4130675347
230,15989.366411815727
231,16294.022273922961
